model,accuracy,precision,recall,f1,roc_auc,pr_auc
DecisionTree_baseline,0.8708333333333333,0.14285714285714285,0.1875,0.16216216216216217,0.5535714285714285,0.08095238095238096
DecisionTree_tuned,0.875,0.1111111111111111,0.125,0.11764705882352941,0.5242745535714286,0.07404729109274563
