model,accuracy,precision,recall,f1,roc_auc,pr_auc
XGBoost_baseline,0.9125,0.0,0.0,0.0,0.5789620535714286,0.08352721539669991
XGBoost_tuned,0.9083333333333333,0.125,0.0625,0.08333333333333333,0.546875,0.09373548198760698
