model,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,0.6333333333333333,0.08139534883720931,0.4375,0.13725490196078433,0.5446428571428572,0.09362955072637369
LogisticRegressionTuned,0.6416666666666667,0.09302325581395349,0.5,0.1568627450980392,0.5387834821428571,0.0766131837783583
