model,accuracy,precision,recall,f1,roc_auc,pr_auc
NaiveBayes_baseline,0.825,0.03571428571428571,0.0625,0.045454545454545456,0.47265625,0.06763498256609811
NaiveBayes_tuned,0.65,0.075,0.375,0.125,0.47265625,0.06763498256609811
