model,accuracy,precision,recall,f1,roc_auc,pr_auc
kNN_baseline,0.8791666666666667,0.06666666666666667,0.0625,0.06451612903225806,0.5,0.06666666666666667
kNN_tuned,0.9333333333333333,0.0,0.0,0.0,0.48758370535714285,0.07883580028845968
