model,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold_used,predicted_positives
DecisionTree_default,0.5791666666666667,0.05263157894736842,0.3125,0.09009009009009009,0.4627511160714286,0.062367497199683083,0.5,95
DecisionTree_tuned,0.06666666666666667,0.06666666666666667,1.0,0.125,0.4627511160714286,0.062367497199683083,0.0,240
