model,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold_used,predicted_positives
kNN_default,0.9333333333333333,0.0,0.0,0.0,0.48758370535714285,0.07883580028845968,0.5,0
kNN_tuned,0.8458333333333333,0.1111111111111111,0.1875,0.13953488372093023,0.48758370535714285,0.07883580028845968,0.1145835382437089,27
